rep,variante,features,metric,top1,sep_top1
26,LRFAF (corpus publié),mfw,burrows_delta,SCH,-2.197413469183964
26,"Genius, invités inclus",mfw,cosine_delta,Werenoi,-3.110671992502074
26,"Genius, invités inclus",mfw,burrows_delta,SCH,-2.2399088116088905
26,"Genius, invités retirés",mfw,cosine_delta,Werenoi,-3.119554272322579
26,"Genius, invités retirés",mfw,burrows_delta,SCH,-2.2526456572666596
26,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.4497656581903406
26,LRFAF (corpus publié),char,burrows_delta,SCH,-1.9157977612462354
26,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.533942861955064
26,"Genius, invités inclus",char,burrows_delta,SCH,-1.9074248035379955
26,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.518671310890959
26,"Genius, invités retirés",char,burrows_delta,SCH,-1.9197722846201677
27,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.7062427797772948
27,LRFAF (corpus publié),mfw,burrows_delta,ISK,-2.1329673637460447
27,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.7479838877743745
27,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.1470228738882957
27,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.6896991012920095
27,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.158702396581222
27,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.752440498184415
27,LRFAF (corpus publié),char,burrows_delta,ISK,-2.0701500222821716
27,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.7522999240011554
27,"Genius, invités inclus",char,burrows_delta,ISK,-2.0577402363997677
27,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.7667607537687946
27,"Genius, invités retirés",char,burrows_delta,ISK,-2.088978336252505
28,LRFAF (corpus publié),mfw,cosine_delta,Werenoi,-2.905958263879506
28,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.589022132675853
28,"Genius, invités inclus",mfw,cosine_delta,Werenoi,-2.989623987285792
28,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.5363096636258016
28,"Genius, invités retirés",mfw,cosine_delta,Werenoi,-3.017302155747679
28,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.5428484707106893
28,LRFAF (corpus publié),char,cosine_delta,Zkr,-2.4102678986119392
28,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.263663120332809
28,"Genius, invités inclus",char,cosine_delta,Zkr,-2.3382058256565648
28,"Genius, invités inclus",char,burrows_delta,Zkr,-2.208484248909688
28,"Genius, invités retirés",char,cosine_delta,Zkr,-2.348216393709445
28,"Genius, invités retirés",char,burrows_delta,Zkr,-2.20453990415339
29,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.830692840747271
29,LRFAF (corpus publié),mfw,burrows_delta,ISK,-1.9981477232652642
29,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.8855935351889754
29,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.0269248261810597
29,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.8570507889715575
29,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.065252837138629
29,LRFAF (corpus publié),char,cosine_delta,​DA Uzi,-2.401892636105122
29,LRFAF (corpus publié),char,burrows_delta,Niro,-2.1460152827217933
29,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.445130781432993
29,"Genius, invités inclus",char,burrows_delta,Niro,-2.129703780744107
29,"Genius, invités retirés",char,cosine_delta,​DA Uzi,-2.4683601928858017
29,"Genius, invités retirés",char,burrows_delta,Niro,-2.1303280688134127
