rep,features,metric,rang,artiste,distance
2,char,cosine_delta,21,Diddi Trix,0.8584045112034502
2,char,cosine_delta,22,Timal,0.8652623517525369
2,char,cosine_delta,23,Dika,0.8653623012411631
2,char,cosine_delta,24,Gambi,0.8662796282147321
2,char,cosine_delta,25,Mister You,0.8679926267057143
2,char,burrows_delta,1,L’Animalerie,0.7629967853370269
2,char,burrows_delta,2,Zkr,0.7708617603664684
2,char,burrows_delta,3,ISK,0.7761409143255126
2,char,burrows_delta,4,Mister You,0.7809498010657696
2,char,burrows_delta,5,Deen Burbigo,0.7824199001746077
2,char,burrows_delta,6,Jarod,0.7856659963126145
2,char,burrows_delta,7,Zikxo,0.7921194340645731
2,char,burrows_delta,8,Ademo,0.7925909821046777
2,char,burrows_delta,9,Leck,0.7950804426727547
2,char,burrows_delta,10,SCH,0.7969283942195998
2,char,burrows_delta,11,Hayce Lemsi,0.7997994428919245
2,char,burrows_delta,12,Caballero,0.8026122222524488
2,char,burrows_delta,13,Nahir,0.8030713668572952
2,char,burrows_delta,14,Vin’s,0.803806319540183
2,char,burrows_delta,15,Nakk Mendosa,0.8055062090515763
2,char,burrows_delta,16,GLK,0.8069487582804374
2,char,burrows_delta,17,Niro,0.8073710430408714
2,char,burrows_delta,18,Limsa d’Aulnay,0.808020276133613
2,char,burrows_delta,19,Lesram,0.8090243412564152
2,char,burrows_delta,20,Panama Bende,0.8095040812323352
2,char,burrows_delta,21,Swift Guad,0.811560068267137
2,char,burrows_delta,22,Saké (FRA),0.8128750921483231
2,char,burrows_delta,23,Zola,0.8144036153825335
2,char,burrows_delta,24,Volts Face,0.8151723606761925
2,char,burrows_delta,25,Lacrim,0.815924983664653
3,mfw,cosine_delta,1,Rimkus,0.7299643801200997
3,mfw,cosine_delta,2,Werenoi,0.7328972024707068
3,mfw,cosine_delta,3,Lemon Haze,0.7504349191383023
3,mfw,cosine_delta,4,SCH,0.7537063190849127
3,mfw,cosine_delta,5,Maes,0.7540199598448168
3,mfw,cosine_delta,6,Worms-T,0.7847102943698114
3,mfw,cosine_delta,7,Soso Maness,0.7926139038050963
3,mfw,cosine_delta,8,Fresh laDouille,0.7942238542016358
3,mfw,cosine_delta,9,Graya,0.795011654981481
3,mfw,cosine_delta,10,GLK,0.7958440311974722
3,mfw,cosine_delta,11,UZI (FRA),0.7976096749783601
3,mfw,cosine_delta,12,SDM,0.801069621266139
3,mfw,cosine_delta,13,Koba LaD,0.8130183658619582
3,mfw,cosine_delta,14,Niro,0.8155538736727461
3,mfw,cosine_delta,15,Zola,0.8169343071733536
3,mfw,cosine_delta,16,AM La Scampia,0.8202825209381608
3,mfw,cosine_delta,17,ASHE 22,0.8223569675144311
3,mfw,cosine_delta,18,YL,0.8238092206335029
3,mfw,cosine_delta,19,S-Pion,0.8238373484223814
3,mfw,cosine_delta,20,Sofiane,0.8283651385506304
3,mfw,cosine_delta,21,Landy,0.829890181436469
3,mfw,cosine_delta,22,PLK,0.8315469995016231
3,mfw,cosine_delta,23,Mister V,0.8323154751255264
