url,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl,d_n_french
https://genius.com/So-la-lune-lame-lyrics,-4,-4,0,1,-0.0062281043207490505,0
https://genius.com/Hayce-lemsi-catapulte-lyrics,-3,-3,0,1,-0.015371326053734702,0
https://genius.com/Zbig-dlg-13-lyrics,-3,-4,0,0,-0.009882381911150429,1
https://genius.com/Keny-arkana-les-murs-de-ma-ville-lyrics,2,0,0,1,-0.03772595873500162,7
https://genius.com/Davodka-cyborg-lyrics,-3,-5,0,1,-0.007417462912685746,2
https://genius.com/Eyes-berg-roulette-russe-lyrics,33,0,8,0,-0.5494000099171954,65
https://genius.com/Kik-puzzle-lyrics,-2,-2,0,0,-0.018735102815817584,2
https://genius.com/Alkpote-le-coup-de-grace-lyrics,0,0,0,0,-1.7763568394002505e-15,2
https://genius.com/Lord-esperanza-ladyz-n-gentleman-lyrics,0,0,0,0,0.0,0
https://genius.com/Alonzo-120-lyrics,-1,-4,0,0,-0.024073258998435154,4
https://genius.com/Busta-flex-soldat-lyrics,4,-3,0,0,-0.0593265299030481,5
https://genius.com/Franglish-bombarder-lyrics,2,-5,3,0,-0.07058823529412006,14
https://genius.com/Le-rat-luciano-dans-la-peau-de-tony-lyrics,-4,-4,0,0,-0.000771118121272174,0
https://genius.com/Gringe-freestyle-france-inter-lyrics,-2,-2,0,0,-0.022627435375263794,1
https://genius.com/Limsa-daulnay-seul-remix-lyrics,1,1,0,0,-0.007400000000000073,2
https://genius.com/Kaaris-illimite-lyrics,3,-7,2,1,-0.05591688283903107,13
https://genius.com/Zola-zaza-lyrics,-4,-4,0,4,-0.003044697977604205,0
https://genius.com/Dadju-je-melange-tout-lyrics,-4,-4,0,6,-0.0018257665039151938,0
https://genius.com/Krisy-malaise-dans-lascenseur-lyrics,-4,-4,0,0,-0.0016554706968054944,0
https://genius.com/Nakk-mendosa-madmax-lyrics,-2,-3,0,0,-0.01592131470873026,4
https://genius.com/3010-flashy-lyrics,-4,-4,0,1,-8.644648745903538e-05,0
https://genius.com/The-shin-sekai-nous-sommes-demain-lyrics,-2,-4,0,0,-0.019584802193500117,4
https://genius.com/Guizmo-grimlinzs-lyrics,-3,-3,0,0,-0.008375808518882977,0
https://genius.com/Naza-comme-ca-lyrics,-1,-3,0,8,-0.03494274945609366,4
https://genius.com/Set-match-10g-de-swagg-lyrics,-3,-4,0,1,-0.009502136677903561,3
https://genius.com/Senamo-5h-chrono-lyrics,-2,-2,0,2,-0.023721365860496224,3
https://genius.com/Nassi-a-la-derive-lyrics,-3,-4,0,0,-0.011488935153058932,2
https://genius.com/Houari-il-mfaut-des-loves-lyrics,49,-7,16,0,-0.6466477153636565,107
https://genius.com/Redk-quitte-la-tess-lyrics,-3,-4,0,0,-0.008472489039944797,2
https://genius.com/Sams-je-bloque-lyrics,-2,-3,0,2,-0.017599575418806968,0
https://genius.com/Josman-argent-drogue-et-sexe-lyrics,15,-9,6,0,-0.12337140472621355,37
https://genius.com/Vii-la-ballade-des-pendus-lyrics,0,-4,0,0,-0.035523978685609414,8
https://genius.com/Oxmo-puccino-roi-sans-carrosse-lyrics,6,1,0,0,-0.23726122550235917,12
https://genius.com/Grodash-lever-lencre-lyrics,-4,-4,0,0,-0.0011383174245591654,0
https://genius.com/Lacrim-puerto-rico-lyrics,-3,-2,1,0,-0.013576713667454055,2
