url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/Kamikaz-le-quartier-lyrics,True,False,-759,-249,-22,-81,0.05932733374008636
https://genius.com/Demon-one-merci-a-la-vie-lyrics,True,False,-195,-61,-4,-39,0.05114116652577749
https://genius.com/A2h-ta-copine-lyrics,True,True,0,0,0,0,4.884981308350689e-15
https://genius.com/Zkr-outro-lyrics,True,False,-48,-4,0,-10,0.2348991923178687
https://genius.com/Rimk-prototype-lyrics,True,False,-206,-83,-20,-20,-0.07369007803790106
https://genius.com/Ninho-coffrer-lyrics,True,False,-424,-102,-9,-24,0.07672264903817494
https://genius.com/Kool-shen-1er-round-lyrics,True,True,0,0,0,0,-4.440892098500626e-15
https://genius.com/Mister-v-agamagohenmapoke-lyrics,True,False,-30,-10,-1,-10,-0.5038344129253267
https://genius.com/Kamini-les-raps-lyrics,True,False,-488,-116,-9,-68,-0.016666666666666607
https://genius.com/Gims-en-secret-lyrics,True,False,-262,-18,-34,-15,0.05703501782344045
https://genius.com/Tito-prince-chelou-lyrics,True,False,-345,-91,-13,-37,-0.12369064245809991
https://genius.com/Black-m-les-yeux-plus-gros-que-le-monde-pochette-lyrics,True,False,-4,-4,0,0,
https://genius.com/Medine-demineur-lyrics,True,False,-363,-177,-5,-33,-0.013485360360363075
https://genius.com/Elh-kmer-grosse-folle-lyrics,True,False,-273,-58,-9,-35,-0.02789802789802298
https://genius.com/Ixzo-call-of-money-lyrics,True,False,-219,-61,-11,-30,0.1719307498991669
https://genius.com/Dibson-pesos-lyrics,True,False,-246,-59,1,-29,-0.3835432859823076
https://genius.com/Elh-kmer-imparfait-lyrics,True,False,-259,-61,-18,-19,0.0009936286407801198
https://genius.com/Abou-tall-sous-la-pleine-lune-lyrics,True,False,-210,-58,-12,-21,0.021302681992335426
https://genius.com/La-feve-no-snake-lyrics,True,False,-44,-4,0,8,0.03708359522312765
https://genius.com/Kekra-pjdtv-lyrics,True,False,-201,-41,-4,-27,0.05901091024926286
https://genius.com/Benjamin-epps-la-tension-lyrics,True,False,-392,-85,-2,-44,-0.1471324990218954
https://genius.com/Hamza-rolling-stone-lyrics,True,False,-24,-4,0,-3,-0.12793522267205937
https://genius.com/Guizmo-daffy-duck-lyrics,True,False,-368,-162,-15,-35,0.02986388817551111
https://genius.com/Black-m-passionne-lyrics,True,False,-458,-111,-15,-40,0.09815148720631273
https://genius.com/La-fouine-du-ferme-lyrics,True,False,-219,-51,0,-28,0.08613468533010105
https://genius.com/Pso-thug-juste-apres-lyrics,True,False,-347,-86,-25,-35,0.20255474452554978
https://genius.com/Beeby-mon-ieur-lyrics,True,False,-259,-117,-9,-25,-0.035197465369877445
